,year,week,statefips,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home,stayathome_advisory,nonessbiz_closed,isolation_dummy
0,2020,8,1,0.056394285714285716,0.02184714285714286,0.011024285714285714,0.0,0.0016985714285714288,0,0,0
1,2020,8,2,0.07018571428571428,0.027758571428571428,0.029599999999999998,-0.004081428571428571,0.0068145714285714285,0,0,0
2,2020,8,4,0.05101428571428572,0.018582857142857144,0.012251428571428571,-0.0004057142857142854,-0.0009671428571428572,0,0,0
3,2020,8,5,0.0733,0.024904285714285712,0.021228571428571427,-0.005504285714285713,0.0055476,0,0,0
4,2020,8,6,0.027771428571428575,0.01326,0.0202,-0.0030614285714285713,0.0026799999999999997,0,0,0
5,2020,8,8,0.015508571428571427,0.020402857142857143,0.02614285714285714,-0.00020428571428571438,-0.001246285714285714,0,0,0
6,2020,8,9,0.046514285714285716,-0.002654285714285714,0.02183,-0.0028600000000000006,0.00652857142857143,0,0,0
7,2020,8,10,0.04755714285714285,0.016324285714285715,0.028557142857142857,-0.004897142857142857,0.007842857142857143,0,0,0
8,2020,8,11,0.0077628571428571425,-0.035314285714285715,0.007542857142857143,0.001222857142857143,0.0012574285714285714,0,0,0
9,2020,8,12,0.03897142857142857,0.016727142857142857,0.012242857142857142,-0.0016314285714285714,0.002466214285714286,0,0,0
10,2020,8,13,0.03529,0.005299999999999999,0.008375714285714287,-0.0020371428571428576,0.005187285714285714,0,0,0
11,2020,8,15,0.016314285714285715,0.005504285714285714,0.009387142857142858,0.0004085714285714286,0.00011401428571428576,0,0,0
12,2020,8,16,0.07442857142857143,0.05897142857142857,0.03265714285714286,-0.01143,0.01507142857142857,0,0,0
13,2020,8,17,0.04491428571428572,0.03917142857142857,0.023457142857142853,-0.00551,0.01099,0,0,0
14,2020,8,18,0.057757142857142854,0.01917142857142857,0.016957142857142858,-0.0020428571428571427,0.005632857142857143,0,0,0
15,2020,8,19,0.05898571428571429,0.10475714285714285,0.03407142857142857,-0.009797142857142857,0.015428571428571429,0,0,0
16,2020,8,20,0.07044285714285714,0.004485714323714285,0.03508571428571428,-0.009582857142857143,0.011865714285714285,0,0,0
17,2020,8,21,0.052457142857142855,0.04692857142857143,0.02184285714285714,-0.0020428571428571427,0.005338571428571429,0,0,0
18,2020,8,22,0.1269142857142857,0.07387142857142857,-0.07631428571428571,0.006528571428571428,-0.0020814285714285713,0,0,0
19,2020,8,23,0.06162857142857143,0.013867142857142857,-0.0069557142857142856,0.004291428571428572,-0.00016000000000000018,0,0,0
20,2020,8,24,0.026542857142857142,0.0038771428571428568,0.0298,-0.0038814285714285717,0.007202857142857143,0,0,0
21,2020,8,25,0.04367142857142857,-0.012437142857142857,0.00347,0.0008142857142857141,0.0019872285714285717,0,0,0
22,2020,8,26,0.03367142857142857,0.0012242856762857146,0.005305714285714286,0.0030585714285714283,0.0014557142857142859,0,0,0
23,2020,8,27,0.04835714285714286,0.03122857142857143,0.02367142857142857,-0.00653,0.010935714285714285,0,0,0
24,2020,8,28,0.08385714285714285,0.03570142857142857,-0.0016314285714285714,-0.0026514285714285715,0.004622857142857143,0,0,0
25,2020,8,29,0.07452857142857143,0.03408571428571429,0.0598,-0.011215714285714285,0.015857142857142858,0,0,0
26,2020,8,30,0.06878571428571428,0.029585714285714288,0.020399999999999998,-0.005917142857142857,0.0075899999999999995,0,0,0
27,2020,8,31,0.07021428571428572,0.0398,0.022857142857142857,-0.006322857142857143,0.0105,0,0,0
28,2020,8,32,0.045099999999999994,0.028585714285714287,0.005714285714285714,-0.001837142857142857,0.0027794285714285716,0,0,0
29,2020,8,33,0.04287142857142857,-0.020814285714285712,-0.03896714285714286,0.004692857142857143,-0.0009064285714285716,0,0,0
30,2020,8,34,0.02592857142857143,0.0008157142857142857,0.02184285714285714,-0.0018385714285714286,0.004421428571428571,0,0,0
31,2020,8,35,0.06024285714285714,0.0596,0.024714285714285713,-0.006525714285714286,0.006911285714285714,0,0,0
32,2020,8,36,0.03225714285714286,-0.004902857142857142,0.005724285714285715,0.004078571428571429,-0.0018330857142857143,0,0,0
33,2020,8,37,0.033465714285714286,-0.010602857142857145,0.0030585714285714283,0.006332857142857143,-0.004872857142857143,0,0,0
34,2020,8,38,0.0596,0.005511428571428571,0.029599999999999998,-0.005917142857142857,0.010881428571428571,0,0,0
35,2020,8,39,0.04774285714285714,0.011234285714285714,0.019185714285714285,-0.00143,0.004995714285714286,0,0,0
36,2020,8,40,0.05998571428571429,0.02510714285714286,0.023257142857142858,-0.004487142857142857,0.004787142857142857,0,0,0
37,2020,8,41,0.0745,0.03327142857142857,0.023485714285714283,-0.009591428571428572,0.012,0,0,0
38,2020,8,42,0.05204285714285715,0.01262857142857143,0.0247,-0.0022471428571428573,0.0049414285714285714,0,0,0
39,2020,8,44,0.06775714285714286,-0.02694857142857143,0.014299999962,-0.002652857142857143,0.005594285714285714,0,0,0
40,2020,8,45,0.052172857142857146,0.009812857142857142,0.01757142857142857,-0.00020428571428571414,0.0033985714285714287,0,0,0
41,2020,8,46,0.03451,0.07654285714285715,0.016114285714285713,-0.0010214285714285714,0.0052468571428571425,0,0,0
42,2020,8,47,0.04878,0.01795142857142857,0.022242857142857144,-0.0034685714285714285,0.005955714285714286,0,0,0
43,2020,8,48,0.0504,0.02571285714285714,0.025714285714285714,-0.007555714285714285,0.009644428571428571,0,0,0
44,2020,8,49,0.0651,0.09495714285714285,0.028985714285714285,-0.006934285714285714,0.00864,0,0,0
