,year,week,statefips,month,day,spend_all,spend_aap,spend_acf,spend_aer,spend_apg,spend_durables,spend_nondurables,spend_grf,spend_gen,spend_hic,spend_hcs,spend_inpersonmisc,spend_remoteservices,spend_sgh,spend_tws,spend_retail_w_grocery,spend_retail_no_grocery,spend_all_incmiddle,spend_all_q1,spend_all_q2,spend_all_q3,spend_all_q4,provisional,date,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home,stayathome_advisory,nonessbiz_closed,isolation_dummy,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
0,2020,8,1,2.142857142857143,22.857142857142858,-0.0472571428571428,-0.2405714285714286,-0.0544714285714285,-0.0831428571428571,-0.1415142857142857,-0.0383571428571428,-0.0438571428571428,0.0185857142857142,-0.0058485714285714,-0.0135285714285714,-0.0781857142857142,-0.0863857142857142,0.0035999999999999,-0.02273,-0.1160428571428571,-0.0412285714285714,-0.0674142857142857,-0.0655857142857142,-0.0429285714285714,-0.0979428571428571,-0.0148971428571428,0.00704,0,2020-02-27 00:00:00,0.056394285714285716,0.02184714285714286,0.011024285714285714,0.0,0.0016985714285714288,0,0,0,,,,,,,,,,,
1,2020,8,2,2.142857142857143,22.857142857142858,-0.0249371428571428,0.0606471428571428,-0.0310857142857142,-0.0473042857142857,0.0443285714285714,-0.0394271428571428,0.0797714285714285,0.0890142857142857,0.1265671428571428,-0.2694285714285714,-0.0278142857142857,0.0063,-0.0987057142857142,0.2608571428571428,-0.0222871428571428,0.0101621428571428,-0.0280428571428571,0.0204724285714285,,-0.0961257142857142,0.0648985714285714,-0.0454,0,2020-02-27 00:00:00,0.07018571428571428,0.027758571428571428,0.029599999999999998,-0.004081428571428571,0.0068145714285714285,0,0,0,,,,,,,,,,,
2,2020,8,4,2.142857142857143,22.857142857142858,0.0207985714285714,-0.0012812857142857,-0.03548,-0.0743062857142857,0.0186328571428571,0.0267657142857142,0.0497571428571428,0.0457557142857142,0.0368714285714285,0.0849842857142857,0.0032185714285714,0.0199714285714285,0.0077685714285714,-0.0574999999999999,-0.0610999999999999,0.0409142857142857,0.0390375714285714,0.0234414285714285,0.0245685714285714,0.0334428571428571,0.0130014285714285,0.0134957142857142,0,2020-02-27 00:00:00,0.05101428571428572,0.018582857142857144,0.012251428571428571,-0.0004057142857142854,-0.0009671428571428572,0,0,0,0.0,0.0137,,0.0,,,,,,,
3,2020,8,5,2.142857142857143,22.857142857142858,0.0220271428571428,0.0169742857142857,0.0237299999999999,-0.1191142857142857,0.0078957142857142,0.0794168571428571,-0.0344571428571428,-0.0033285714285714,0.0003308571428571,0.03498,0.1213908,0.0997714285714285,0.0922142857142857,-0.0081714285714285,-0.0131857142857142,-0.0153142857142857,-0.0263838571428571,0.0161871428571428,0.0473514285714285,0.0172685714285714,0.0163128571428571,0.1242714285714285,0,2020-02-27 00:00:00,0.0733,0.024904285714285712,0.021228571428571427,-0.005504285714285713,0.0055476,0,0,0,,,,,,,,,,,
4,2020,8,6,2.142857142857143,22.857142857142858,0.0046057142857142,-0.0136642857142857,-0.0050371428571428,-0.0528142857142857,0.0044142857142857,0.0329714285714285,0.0361114285714285,0.0583828571428571,0.0252271428571428,0.1229285714285714,-0.0127971428571428,-0.0094471428571428,-0.0341142857142857,-0.0074144285714285,-0.0796571428571428,0.036,0.0283285714285714,0.00692,0.0076357142857142,0.01432,0.0031542857142857,0.0033,0,2020-02-27 00:00:00,0.027771428571428575,0.01326,0.0202,-0.0030614285714285713,0.0026799999999999997,0,0,0,0.0043404285714285,0.0320571428571428,,0.0,,,,,,,
5,2020,8,8,2.142857142857143,22.857142857142858,-0.0104485714285714,0.0198542857142857,-0.02535,-0.0650714285714285,0.0265,0.00305,0.0375285714285714,0.0760114285714285,-0.0037885714285714,0.0032672857142857,-0.0889428571428571,-0.044061,-0.0143542857142857,-0.0078728571428571,-0.1258714285714285,0.0229528571428571,0.0013611428571428,-0.0066121428571428,-0.0273128571428571,0.0006742857142857,-0.0101064285714285,-0.0138228571428571,0,2020-02-27 00:00:00,0.015508571428571427,0.020402857142857143,0.02614285714285714,-0.00020428571428571438,-0.001246285714285714,0,0,0,,,,,,,,,,,
6,2020,8,9,2.142857142857143,22.857142857142858,-0.0057757142857142,0.01044,-0.0467857142857142,-0.1365857142857142,0.0554428571428571,0.0103817142857142,0.0627857142857142,0.0660285714285714,0.1145142857142857,0.0166742857142857,-0.0692714285714285,-0.0149571428571428,-0.0685428571428571,0.1039142857142857,-0.1135428571428571,0.0301,0.0149249999999999,-0.00817,-0.0067457142857142,0.0342357142857142,-0.01677,-0.0065928571428571,0,2020-02-27 00:00:00,0.046514285714285716,-0.002654285714285714,0.02183,-0.0028600000000000006,0.00652857142857143,0,0,0,,,,,,0.0841,,,,,
7,2020,8,10,2.142857142857143,22.857142857142858,-0.0684714285714285,0.1255571428571428,-0.1003142857142857,-0.5084285714285715,0.3382857142857142,-0.04185,0.1089285714285714,-0.0226999999999999,0.4967142857142856,0.0212285714285714,-0.1355857142857142,-0.2152857142857142,-0.1021142857142857,0.0377,-0.1415571428571428,0.0691571428571428,0.1073857142857142,-0.0726142857142857,0.0080571428571428,-0.0553428571428571,-0.0808142857142857,-0.0669142857142857,0,2020-02-27 00:00:00,0.04755714285714285,0.016324285714285715,0.028557142857142857,-0.004897142857142857,0.007842857142857143,0,0,0,,,,,,,,,,,
8,2020,8,11,2.142857142857143,22.857142857142858,-0.0269228571428571,-0.0783142857142857,-0.0547099999999999,-0.0104857142857142,-0.0722457142857142,0.0638814285714285,0.0227671428571428,0.0707714285714285,-0.0459914285714285,0.3115142857142857,0.0648142857142857,0.0112142857142856,-0.1056,0.0057814285714285,-0.2444285714285714,0.0343157142857142,0.0218771428571428,-0.0375057142857142,-0.0581,-0.6655714285714286,-0.0138671428571428,-0.0236442857142857,0,2020-02-27 00:00:00,0.0077628571428571425,-0.035314285714285715,0.007542857142857143,0.001222857142857143,0.0012574285714285714,0,0,0,,,,,,,,,,,
9,2020,8,12,2.142857142857143,22.857142857142858,-0.0454428571428571,-0.0452514285714285,-0.0481571428571428,-0.0989142857142857,-0.0475714285714285,-0.0375857142857142,-0.0301714285714285,-0.0335857142857142,-0.0191171428571428,-0.0769428571428571,-0.0250928571428571,-0.0811857142857142,-0.0499999999999999,-0.0327285714285714,-0.1395714285714286,-0.0300428571428571,-0.0277857142857142,-0.0420571428571428,-0.0593142857142857,-0.0456857142857142,-0.0379285714285714,-0.0368571428571428,0,2020-02-27 00:00:00,0.03897142857142857,0.016727142857142857,0.012242857142857142,-0.0016314285714285714,0.002466214285714286,0,0,0,,,,,,,,,,,
