,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
139,2020,05,29,,,,,,,,,,,
140,2020,05,30,,,,,,,,,,,0.0
141,2020,05,31,,,,,,,,,,,
142,2020,05,32,,,,,,,,,,,0.0
143,2020,05,33,,,,,,,,,,,
144,2020,05,34,,,,,,,,,,,
145,2020,05,35,,,,,,,,,,,
146,2020,05,36,,,,,,,,,,,
147,2020,05,37,,,,,,,,,,,0.0
148,2020,05,38,,,,,,,,,,,
149,2020,05,39,,,,,,,,,,,
150,2020,05,40,,,,,,,,,,,
151,2020,05,41,,,,,,,,,,,
152,2020,05,42,,,,,,,,,,,
153,2020,05,44,,,,,,,,,,,
154,2020,05,45,,,,,,,,,,,
155,2020,05,46,,,,,,,,,,,
156,2020,05,47,,,,,,,,,,,
157,2020,05,48,,,,,,,,,,,0.0
158,2020,05,49,,,,,,,,,,,
159,2020,05,50,,,,,,,,,,,
160,2020,05,51,,,,,,,,,,,
161,2020,05,53,0.0,0.0131,,0.0,,0.0,,,,,
162,2020,05,54,,,,,,,,,,,
163,2020,05,55,0.0,0.0172,,0.0,,,,,,,
164,2020,05,56,,,,,,,,,,,
165,2020,06,1,,,,,,,,,,,
166,2020,06,2,,,,,,,,,,,
167,2020,06,4,0.0,0.013700000000000002,,0.0,,,,,,,
168,2020,06,5,,,,,,,,,,,
169,2020,06,6,0.0003102857142857143,0.016271428571428572,,0.0,,,,,,,
170,2020,06,8,,,,,,,,,,,
171,2020,06,9,,,,,,,,,,,
172,2020,06,10,,,,,,,,,,,
173,2020,06,11,,,,,,,,,,,
174,2020,06,12,,,,,,,,,,,
175,2020,06,13,,,,,,,,,,,
176,2020,06,15,,,,,,,,,,,0.0
177,2020,06,16,,,,,,,,,,,
178,2020,06,17,0.0,0.015800000000000005,,0.0,,,,,,,
179,2020,06,18,,,,,,,,,,,0.0
180,2020,06,19,,,,,,,,,,,
181,2020,06,20,,,,,,,,,,,0.0007
182,2020,06,21,,,,,,,,,,,
183,2020,06,22,,,,,,,,,,,
184,2020,06,23,,,,,,,,,,,
185,2020,06,24,,,,,,,,,,,
186,2020,06,25,0.0,0.0145,,0.0,0.008000000000000002,0.16185714285714287,,,,,
187,2020,06,26,,,,,,,,,,,
188,2020,06,27,,,,,,,,,,,0.0
189,2020,06,28,,,,,,,,,,,
190,2020,06,29,,,,,,,,,,,
191,2020,06,30,,,,,,,,,,,0.0
192,2020,06,31,,,,,,0.0517,,,,,
193,2020,06,32,,,,,,,,,,,0.0
194,2020,06,33,,,,,,,,,,,
195,2020,06,34,,,,,,0.0,,,,,
196,2020,06,35,,,,,,,,,,,
197,2020,06,36,,,,,,,,,,,
198,2020,06,37,,,,,,,,,,,0.0
199,2020,06,38,,,,,,,,,,,
200,2020,06,39,,,,,,,,,,,
201,2020,06,40,,,,,,,,,,,
202,2020,06,41,,,,,,,,,,,
203,2020,06,42,,,,,,,,,,,
204,2020,06,44,,,,,,,,,,,
205,2020,06,45,,,,,,,,,,,
206,2020,06,46,,,,,,,,,,,
207,2020,06,47,,,,,,,,,,,
208,2020,06,48,0.002106666666666667,0.005102499999999999,,0.0,,,,,,,0.0
209,2020,06,49,,,,,,,,,,,
210,2020,06,50,,,,,,,,,,,
211,2020,06,51,,,,,,,,,,,
212,2020,06,53,0.0,0.0131,,0.0,,0.0,,,,,
213,2020,06,54,,,,,,,,,,,
214,2020,06,55,0.0,0.017199999999999997,,0.0,,,,,,,
215,2020,06,56,,,,,,,,,,,
216,2020,07,1,,,,,,,,,,,
217,2020,07,2,,,,,,,,,,,
218,2020,07,4,0.0,0.013700000000000002,,0.0,,,,,,,
219,2020,07,5,,,,,,,,,,,
220,2020,07,6,0.00031,0.01817142857142857,,0.0,,,,,,,
221,2020,07,8,,,,,,,,,,,
222,2020,07,9,,,,,,,,,,,
223,2020,07,10,,,,,,,,,,,
224,2020,07,11,,,,,,,,,,,
225,2020,07,12,,,,,,,,,,,
226,2020,07,13,,,,,,,,,,,
227,2020,07,15,,,,,,,,,,,0.0
228,2020,07,16,,,,,,,,,,,
229,2020,07,17,0.0,0.015800000000000005,,0.0,,,,,,,0.0
230,2020,07,18,,,,,,,,,,,0.0
231,2020,07,19,,,,,,,,,,,
232,2020,07,20,,,,,,,,,,,0.01960142857142857
233,2020,07,21,,,,,,,,,,,
234,2020,07,22,,,,,,,,,,,
235,2020,07,23,,,,,,,,,,,
236,2020,07,24,,,,,,,,,,,
237,2020,07,25,0.0,0.0145,,0.0,0.002071428571428571,0.18971428571428572,,,,,
238,2020,07,26,,,,,,,,,,,
239,2020,07,27,,,,,,,,,,,0.0
240,2020,07,28,,,,,,,,,,,0.0
241,2020,07,29,,,,,,,,,,,
242,2020,07,30,,,,,,,,,,,0.0
243,2020,07,31,0.00808,0.527,,0.0,0.07412857142857143,0.20257142857142857,,,,,
244,2020,07,32,,,,,,,,,,,0.0
245,2020,07,33,,,,,,,,,,,
246,2020,07,34,,,,,,0.0,,,,,
247,2020,07,35,,,,,,,,,,,
248,2020,07,36,,,,,,,,,,,
249,2020,07,37,,,,,,,,,,,0.0
250,2020,07,38,,,,,,,,,,,
251,2020,07,39,,,,,,,,,,,
252,2020,07,40,,,,,,,,,,,
253,2020,07,41,,,,,,,,,,,
254,2020,07,42,,,,,,,,,,,
255,2020,07,44,,,,,,,,,,,
256,2020,07,45,,,,,,,,,,,
257,2020,07,46,,,,,,,,,,,
258,2020,07,47,,,,,,,,,,,
259,2020,07,48,0.0006557142857142856,0.007068571428571428,,0.0,,,,,,,0.0
260,2020,07,49,,,,,,,,,,,
261,2020,07,50,,,,,,,,,,,
262,2020,07,51,,,,,,,,,,,
263,2020,07,53,0.0,0.0131,,0.0,,0.0,,,,,
264,2020,07,54,,,,,,,,,,,0.0
265,2020,07,55,0.0,0.017199999999999997,,0.0,,,,,,,
266,2020,07,56,,,,,,,,,,,
267,2020,08,1,,,,,,,,,,,
268,2020,08,2,,,,,,,,,,,
269,2020,08,4,0.0,0.013700000000000002,,0.0,,,,,,,
270,2020,08,5,,,,,,,,,,,
271,2020,08,6,0.0043404285714285715,0.032057142857142853,,0.0,,,,,,,
272,2020,08,8,,,,,,,,,,,
273,2020,08,9,,,,,,0.0841,,,,,
274,2020,08,10,,,,,,,,,,,
275,2020,08,11,,,,,,,,,,,
276,2020,08,12,,,,,,,,,,,
277,2020,08,13,,,,,,,,,,,
278,2020,08,15,,,,,,,,,,,0.0
279,2020,08,16,,,,,,,,,,,
280,2020,08,17,0.00016142857142857145,0.01595714285714286,,0.0,,,,,,,0.0
281,2020,08,18,,,,,0.0186,0.023966666666666664,,,,,0.0
282,2020,08,19,,,,,,,,,,,
283,2020,08,20,,,,,,,,,,,0.004201428571428571
284,2020,08,21,,,,,,,,,,,
285,2020,08,22,,,,,,,,,,,
286,2020,08,23,,,,,,,,,,,
287,2020,08,24,,,,,,,,,,,
288,2020,08,25,0.0,0.0145,,0.0,0.006224285714285715,0.21585714285714283,,,,,
289,2020,08,26,,,,,,,,,,,
290,2020,08,27,,,,,,,,,,,0.0
291,2020,08,28,,,,,,,,,,,0.0
292,2020,08,29,,,,,,,,,,,0.0
293,2020,08,30,,,,,,,,,,,0.0
294,2020,08,31,0.016031428571428575,0.6001428571428572,,0.0,0.040125714285714285,0.5032857142857143,,,,,
295,2020,08,32,,,,,,,,,,,0.0
296,2020,08,33,,,,,,,,,,,
297,2020,08,34,,,,,,0.0,,,,,
298,2020,08,35,,,,,,,,,,,
299,2020,08,36,,,,,,,,,,,
300,2020,08,37,,,,,,,,,,,0.0
301,2020,08,38,,,,,,,,,,,
302,2020,08,39,,,,,,,,,,,
303,2020,08,40,,,,,,,,,,,
304,2020,08,41,0.0,0.0237,,0.0,,,,,,,0.0
305,2020,08,42,,,,,,,,,,,
306,2020,08,44,,,,,,,,,,,
307,2020,08,45,,,,,,,,,,,
308,2020,08,46,,,,,,,,,,,
309,2020,08,47,,,,,,,,,,,
310,2020,08,48,0.003377857142857143,0.021464285714285714,,0.0,,,,,,,0.00021114285714285714
311,2020,08,49,0.0,0.0312,,0.0,,,,,,,
312,2020,08,50,,,,,,,,,,,
313,2020,08,51,,,,,0.00585,75.5,,,,,
314,2020,08,53,0.008314285714285713,0.038028571428571425,,0.0002685714285714286,,0.011257142857142856,,,,,0.0
315,2020,08,54,,,,,,,,,,,
316,2020,08,55,0.0,0.017199999999999997,,0.0,,,,,,,
317,2020,08,56,,,,,,,,,,,
318,2020,09,1,,,,,,8.2,,,,,0.0
319,2020,09,2,,,,,0.547,1.23,,,,,
