,year,week,statefips,month,day,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70,date
0,2020,02,1,1.0,16.5,-0.0025350000000000004,-0.0007421666666666667,-0.00565,-0.0013846666666666666,,-0.0032686666666666667,-0.002655,-0.002401,0.004268333333333333,0.0005425,-0.0052833333333333335,0.0016166666666666666,2020-01-16 12:00:00
1,2020,02,2,1.0,16.5,,,,,,,0.01618333333333333,,,,,,2020-01-16 12:00:00
2,2020,02,4,1.0,16.5,-0.00012461666666666667,0.003446666666666667,-0.0027115,-0.0006783333333333333,-6.000000000000001e-06,-0.0017343333333333336,0.00010233333333333333,-0.00036766666666666675,0.0018733333333333334,-0.0017663333333333333,0.0014999999999999998,-0.002741,2020-01-16 12:00:00
3,2020,02,5,1.0,16.5,-0.010898333333333335,-0.013973333333333332,-0.009951666666666666,,,-0.00953,-0.012566666666666665,-0.008374999999999999,-0.011856666666666666,,,-0.04253333333333333,2020-01-16 12:00:00
4,2020,02,6,1.0,16.5,-0.0005153333333333335,0.0045965,-0.0012390833333333331,-0.0011238666666666666,-0.0008638333333333333,-0.001185383333333333,0.000171,-0.0009868333333333333,0.00014874999999999998,0.00037595000000000006,-0.00041283333333333325,-0.0027679999999999996,2020-01-16 12:00:00
5,2020,02,8,1.0,16.5,-0.0003823500000000002,0.0029933333333333327,0.00024366666666666677,-0.00375,0.0007967400000000001,-0.0019795,0.0012508333333333334,-0.0013516666666666668,0.0003846666666666667,-0.004651666666666668,-0.001496033333333333,0.004591666666666667,2020-01-16 12:00:00
6,2020,02,9,1.0,16.5,7.916666666666666e-05,0.0021216666666666667,0.00014723333333333338,0.00041066666666666666,-0.0015979999999999998,0.0002917166666666667,0.0010371666666666667,-0.0006215,-7.666666666666708e-06,0.002097,0.0009981666666666665,-0.0007303333333333334,2020-01-16 12:00:00
7,2020,02,10,1.0,16.5,-0.0008425,-0.0010051666666666666,0.0024826666666666673,-0.0007748333333333334,-0.0035583333333333335,0.0007268333333333333,0.0006356666666666666,-0.0021766666666666666,-0.002041666666666667,-0.00432,0.0007161666666666669,0.004971666666666667,2020-01-16 12:00:00
8,2020,02,11,1.0,16.5,,,,,,,,,,,,,2020-01-16 12:00:00
9,2020,02,12,1.0,16.5,-0.00032900000000000003,-0.0003021666666666665,0.0006003333333333333,-0.0023790000000000005,0.0010041666666666669,-0.0009244999999999996,0.0001221833333333334,-0.0008253333333333332,-0.0006776666666666667,0.001233,-0.0005981666666666669,-0.003368333333333333,2020-01-16 12:00:00
10,2020,02,13,1.0,16.5,-0.00022330000000000006,-0.0009921666666666666,0.0009078333333333334,-0.0003020000000000002,-0.00023445,0.0002566666666666667,-0.00017841666666666668,-0.00026811666666666663,-9.216666666666667e-05,-0.00011623333333333332,-0.0010950666666666665,2.1333333333333328e-05,2020-01-16 12:00:00
11,2020,02,15,1.0,16.5,0.0072833333333333335,0.0027934999999999995,0.008358333333333334,0.009938333333333334,,0.009076666666666669,0.006141666666666667,0.008481666666666667,0.013999999999999999,,,-0.0017583333333333333,2020-01-16 12:00:00
12,2020,02,16,1.0,16.5,-0.010695000000000001,-0.005303333333333333,,,,,-0.010596000000000001,,,,,0.0086295,2020-01-16 12:00:00
13,2020,02,17,1.0,16.5,0.00014941666666666668,0.000324,0.0027866666666666665,-0.0014089999999999999,-0.0007073333333333333,0.0005965,0.0016799999999999999,-0.001032,0.0013264999999999998,-0.004188333333333333,0.00031949999999999996,0.002893666666666666,2020-01-16 12:00:00
14,2020,02,18,1.0,16.5,-0.0018871666666666665,-0.0030783333333333335,-0.00036399999999999996,-0.004779333333333334,0.0018399999999999998,-0.0027015000000000003,-0.0019075833333333334,-0.0018638333333333337,-0.0011908333333333335,0.0024548333333333336,-0.004863500000000001,-0.009276666666666667,2020-01-16 12:00:00
15,2020,02,19,1.0,16.5,-0.0028453333333333334,-0.002754666666666666,,-0.0009945,,-0.0010403333333333334,-0.0020113333333333333,-0.0037125,0.0018176666666666664,,-0.0034715,-0.010621666666666666,2020-01-16 12:00:00
16,2020,02,20,1.0,16.5,0.00154,0.003736666666666666,0.00423,-0.00042855,-0.0009686666666666666,0.001758,0.003993333333333333,-0.0006826666666666666,0.0035933333333333334,0.003805,0.00031616666666666664,0.0022416666666666665,2020-01-16 12:00:00
17,2020,02,21,1.0,16.5,-0.00015849999999999998,-0.004373333333333334,-0.0015583333333333334,0.0020373333333333333,0.005921666666666666,0.00016300000000000003,-0.0031116666666666667,0.0037865,-0.00483,0.0010441666666666668,0.004405,8.01666666666666e-05,2020-01-16 12:00:00
18,2020,02,22,1.0,16.5,-0.0007700333333333334,-0.004372999999999999,0.005371666666666667,-0.0031285000000000006,0.0023416666666666664,0.000856,-0.0008953500000000002,-0.0006048333333333331,0.0026266666666666665,0.0018406666666666664,0.0010021666666666666,-0.008676666666666668,2020-01-16 12:00:00
19,2020,02,23,1.0,16.5,-0.0012154999999999998,-0.004750666666666668,,,,,-0.001458,,-0.002645333333333333,,-0.0007574166666666667,,2020-01-16 12:00:00
20,2020,02,24,1.0,16.5,5.816666666666665e-05,0.0035223333333333335,-0.00028199999999999997,-0.001877666666666667,-0.0005415,-0.0011198333333333336,0.00156,-0.0011564999999999998,-0.001176,0.00325,-0.0007214166666666666,0.001165,2020-01-16 12:00:00
